auction_cat,auction_title,auction_price1,auction_price2,auction_del,auction_img,auction_url
민소매/나시티셔츠,2단 레이어 배색 별 에어 나시티 MGB958(쿠비코),,"16,320",,http://image.auction.co.kr/itemimage/15/28/d5/1528d5b8d6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527875152
민소매/나시티셔츠,스트라이프 넘버 써티에잇 에어나시 MGB959(쿠비코),,"18,790",,http://image.auction.co.kr/itemimage/15/28/d5/1528d5b376.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527875131
민소매/나시티셔츠, 쿠비코 스트라이프 넘버 써티에잇 에어나시 MGB959,,"22,800",무료배송,http://image.auction.co.kr/itemimage/15/38/98/15389842e6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B529517606
민소매/나시티셔츠,영문 투라인 레터링 배색 나시티 MGB961(쿠비코),,"16,320",,http://image.auction.co.kr/itemimage/15/28/d5/1528d5c476.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527875186
민소매/나시티셔츠, 쿠비코 빅 레터 스웨그 배색 나시티 MGB963,,"19,800",무료배송,http://image.auction.co.kr/itemimage/15/38/95/1538952016.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B529516689
민소매/나시티셔츠,3단 컬러 배색 성조기 나시티 MGB962,,"17,970",,http://image.auction.co.kr/itemimage/15/28/c1/1528c151f6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527870466
민소매/나시티셔츠,3단 컬러 배색 성조기 나시티 MGB962(쿠비코),,"17,970",,http://image.auction.co.kr/itemimage/15/28/d5/1528d5bc96.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527875174
민소매/나시티셔츠,영문 투라인 레터링 배색 나시티 MGB961,,"16,320",,http://image.auction.co.kr/itemimage/15/28/c1/1528c15f96.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527870486
민소매/나시티셔츠,"나이키,Nike Dry Top Sleeveless Crosso 10658831 Luny엘유니","53,350",,,http://image.auction.co.kr/itemimage/15/28/30/1528301196.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527805947
민소매/나시티셔츠,DC COMICS.디시코믹스(9668)배트맨나시후드티.민소매,,"39,900",,http://image.auction.co.kr/itemimage/15/25/5b/15255bf3f6.jpg,http://itempage3.auction.co.kr/DetailView.aspx?itemno=B527419895
